SID	Code	UserID
1	001	ALL
2	002	ALL
3	003	ALL
4	004	ALL
5	005	ALL
6	006	ALL
7	007	ALL
8	008	ALL
9	009	ALL
10	010	ALL
11	011	ALL
12	012	ALL
13	013	ALL
14	014	ALL
15	015	ALL
16	016	ALL
17	017	ALL
18	018	ALL
19	019	ALL
20	020	ALL
21	021	ALL
22	022	ALL
23	023	ALL
24	024	ALL
25	025	ALL
26	026	ALL
27	027	ALL
28	028	ALL
29	029	ALL
30	030	ALL
31	031	ALL
32	032	ALL
33	033	ALL
34	034	ALL
35	035	ALL
36	036	ALL
37	037	ALL
38	038	ALL
39	039	ALL
40	040	ALL
41	041	ALL
42	042	ALL
43	043	ALL
44	044	ALL
45	045	ALL
46	046	ALL
47	047	ALL
48	048	ALL
49	049	ALL
50	050	ALL
51	051	ALL
52	052	ALL
53	053	ALL
54	054	ALL
55	055	ALL
56	056	ALL
57	057	ALL
58	059	ALL
60	060	ALL
61	061	ALL
62	062	ALL
63	063	ALL
64	064	ALL
65	065	ALL
